name,name_en,name_local,bbox,center_lat,center_lon,osm_id,admin_level,ref,type
Manorom District,Manorom District,อำเภอมโนรมย์,"100.0561918,15.2432482,100.2670421,15.4155953",0,0,18918489,6,,boundary
Nam Pat District,Nam Pat District,อำเภอน้ำปาด,"100.4395339,17.4801401,101.034573,17.909104",0,0,18918523,6,,boundary
Mueang Yasothon District,Mueang Yasothon District,อำเภอเมืองยโสธร,"103.9974655,15.675159,104.3782366,15.9882304",0,0,18918534,6,,boundary
Phichai District,Phichai District,อำเภอพิชัย,"99.954533,17.1385421,100.2968976,17.444217",0,0,18918535,6,,boundary
Nong Khae District,Nong Khae District,อำเภอหนองแค,"100.7584927,14.2433866,100.9619891,14.4627689",0,0,18918536,6,,boundary
Huai Phueng District,Huai Phueng District,อำเภอห้วยผึ้ง,"103.7931773,16.5626344,103.9687988,16.8029051",0,0,18918537,6,,boundary
Mueang Chai Nat District,Mueang Chai Nat District,อำเภอเมืองชัยนาท,"100.0359592,15.0862029,100.2936174,15.2821363",0,0,18918548,6,,boundary
Noen Kham District,Noen Kham District,อำเภอเนินขาม,"99.719716,14.9068778,99.9676082,15.1406128",0,0,18918556,6,,boundary
Tha Pla District,Tha Pla District,อำเภอท่าปลา,"100.1340554,17.6053813,100.7802427,18.0555726",0,0,18918565,6,,boundary
Kamalasai District,Kamalasai District,อำเภอกมลาไสย,"103.4525165,16.1868473,103.7094232,16.3886403",0,0,18918573,6,,boundary
Nong Saeng District,Nong Saeng District,อำเภอหนองแซง,"100.7474271,14.4307498,100.8539688,14.5342238",0,0,18918577,6,,boundary
Nong Mamong District,Nong Mamong District,อำเภอหนองมะโมง,"99.7272711,15.1398604,99.940548,15.3192875",0,0,18918583,6,,boundary
Maha Chana Chai District,Maha Chana Chai District,อำเภอมหาชนะชัย,"104.1213489,15.4031502,104.3903918,15.6089594",0,0,18918589,6,,boundary
Thong Saen Khan District,Thong Saen Khan District,อำเภอทองแสนขัน,"100.1985274,17.3682169,100.6457157,17.6253257",0,0,18918607,6,,boundary
Tron District,Tron District,อำเภอตรอน,"99.9283501,17.3886828,100.2545433,17.5494664",0,0,18918628,6,,boundary
Phra Phutthabat District,Phra Phutthabat District,อำเภอพระพุทธบาท,"100.7140698,14.599762,100.9436348,14.8046702",0,0,18918649,6,,boundary
Bueng Khong Long District,Bueng Khong Long District,อำเภอบึงโขงหลง,"103.9552004,17.8781597,104.1899816,18.1828434",0,0,18918651,6,,boundary
Bung Khla District,Bung Khla District,อำเภอบุ่งคล้า,"103.8615254,18.1541451,104.0841638,18.33944",0,0,18918694,6,,boundary
Mueang Bueng Kan District,Mueang Bueng Kan District,อำเภอเมืองบึงกาฬ,"103.3059797,18.1202609,103.9185077,18.448611",0,0,18918807,6,,boundary
Sao Hai District,Sao Hai District,อำเภอเสาไห้,"100.7750613,14.5125276,100.8942459,14.6669326",0,0,18918809,6,,boundary
Loeng Nok Tha District,Loeng Nok Tha District,อำเภอเลิงนกทา,"104.2735072,16.0706423,104.8250088,16.3488863",0,0,18918879,6,,boundary
Kham Muang District,Kham Muang District,อำเภอคำม่วง,"103.5301989,16.7644806,103.7631558,17.1019579",0,0,18918880,6,,boundary
